title,type,id,subtitle,paragraph,image
Industrial Edge Gateway,200A,0,Overview,"We designed and developed a high-performance Edge Gateway and Direct Digital Controller (DDC), engineered for reliable data acquisition, network integration, and real-time control at the edge. This platform enables seamless communication between field devices and higher-level systems, while executing control logic locally for faster response and improved system efficiency. The design focuses on scalability, robustness, and long-term deployment in distributed environments.",/images/products/Apex200b/Apex200b.png
Industrial Edge Gateway,200A,1,Our Contribution,"Complete hardware architecture design and development; Embedded Linux-based system implementation; Multi-interface device and network integration; Real-time data acquisition and edge processing; Scalable platform development for distributed systems",
Industrial Edge Gateway,200A,2,System Highlights,"Multi-functional Edge Platform: Combines gateway functionality, protocol interfacing, and control logic execution; Reliable Communication Backbone: Designed for stable operation across multiple field networks; Edge Intelligence: Enables local decision-making, reducing dependency on central systems; Data Handling & Storage: Supports logging, backup, and historical data management",/images/products/Apex200a/Apex200 A_KS_R00.bip.1.png
Industrial Edge Gateway,200A,3,Technical Specifications,"Processing: Octa-core ARM Cortex-A55 (64-bit) @ 1.8 GHz; Operating System: Embedded Linux; Memory & Storage: 2 GB LPDDR4 RAM | 16 GB eMMC Flash | MicroSD Card Slot (Data logging & backup); Connectivity: 1x Gigabit Ethernet (RJ45) | 1x 100 Mbps Ethernet (RJ45) | 3x RS485 Ports; Wireless & Positioning: 1x GSM | 1x LoRa | 1x GPS; Interfaces: 2x USB Type-A (CLI / Debug Interface)",
Industrial Edge Gateway,200A,4,Outcome,"The Edge Gateway serves as a flexible and future-ready edge platform, enabling efficient system integration, reliable communication, and scalable deployment across complex, multi-device environments.",
Distributed Programmable Controller,NEXIS 1.0,0,Overview,"The Distributed Programmable Controller Series is a modular control and I/O expansion platform designed for scalable, distributed automation systems. It enables seamless integration between edge gateways, controllers, and field devices through a flexible and reliable architecture. Built with a focus on modularity, interoperability, and real-time performance, This allows system designers to expand I/O capacity effortlessly while maintaining robust communication and control.",/images/products/RT-M26/RT-M26-KS_R00.png
Distributed Programmable Controller,NEXIS 1.0,1,Our Contribution,"Complete modular hardware platform design; Development of scalable I/O expansion architecture; Multi-interface signal acquisition and control design; Reliable field communication integration (RS485-based networks); System optimization for distributed control environments",/images/products/RT-M14E/RT-M14E-KS.bip.72.png
Distributed Programmable Controller,NEXIS 1.0,2,Platform Highlights,"Modular Expansion: Plug-and-expand architecture supporting multiple I/O configurations; Flexible I/O Handling: Supports both analog and digital signals within the same ecosystem; Distributed System Design: Enables placement of I/O closer to field devices, reducing wiring complexity; Reliable Communication Backbone: Designed for stable operation across multi-device networks; Real-Time Control Capability: Ensures fast response for monitoring and actuation",/images/products/RT-M14/RT-M14_KS_R00.81.png
Distributed Programmable Controller,NEXIS 1.0,3,I/O Capabilities,"Analog Inputs: Supports voltage, current, and resistive-based sensors; Analog Outputs: Provides control signals such as 0-10V and 4-20mA; Digital Inputs: Supports dry contact and logic-based status signals; Digital Outputs: Enables control of external devices through transistor outputs",/images/products/RT-D16/RT-D16_KS_R00.2.png
Distributed Programmable Controller,NEXIS 1.0,4,System Characteristics,"Scalable architecture for small to large deployments; Designed for robust field operation and noise immunity; Flexible configuration for varied system requirements; Optimized for integration with edge gateways and controllers",
